"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message"
"1667361013558888_2361409467487369","306","None","0","1667361013558888_2361409467487369","seed","","","None","None","","","","",""
"1667361013558888_2361409467487369/1667361013558888_2361409467487369","1803","306","1","1667361013558888_2361409467487369","data","data.*","fetched (200)","2021-10-08 09:30:30.385750","Facebook:/<post-id>/comments","bravu lyon","2020-06-26T10:32:29+0000","0","0",""
"1667361013558888_2361409467487369/1667361013558888_2361409467487369","1804","306","1","1667361013558888_2361409467487369","data","data.*","fetched (200)","2021-10-08 09:30:30.385750","Facebook:/<post-id>/comments","Bravu Lyon🥰","2020-06-26T10:39:47+0000","0","0",""
"1667361013558888_2361409467487369/1667361013558888_2361409467487369","1805","306","1","1667361013558888_2361409467487369","data","data.*","fetched (200)","2021-10-08 09:30:30.385750","Facebook:/<post-id>/comments","Grazzi lilkom talli bqajtu tahdmu mat tfal .xxxx","2020-06-26T10:41:03+0000","2","0",""
"1667361013558888_2361409467487369/1667361013558888_2361409467487369","1806","306","1","1667361013558888_2361409467487369","data","data.*","fetched (200)","2021-10-08 09:30:30.385750","Facebook:/<post-id>/comments","♥️Lyon  well done","2020-06-26T16:58:16+0000","0","0",""
"1667361013558888_2361409467487369/1667361013558888_2361409467487369","1807","306","1","1667361013558888_2361409467487369","offcut","","fetched (200)","2021-10-08 09:30:30.385750","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2361288387499477","307","None","0","1667361013558888_2361288387499477","seed","","","None","None","","","","",""
"1667361013558888_2361288387499477/1667361013558888_2361288387499477","1808","307","1","1667361013558888_2361288387499477","data","data.*","fetched (200)","2021-10-08 09:30:30.931298","Facebook:/<post-id>/comments","THANKS FOR YOUR APPRECIATION.....","2020-07-01T19:03:38+0000","1","0",""
"1667361013558888_2361288387499477/1667361013558888_2361288387499477","1809","307","1","1667361013558888_2361288387499477","offcut","","fetched (200)","2021-10-08 09:30:30.931298","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2361282604166722","308","None","0","1667361013558888_2361282604166722","seed","","","None","None","","","","",""
"1667361013558888_2361282604166722/1667361013558888_2361282604166722","1810","308","1","1667361013558888_2361282604166722","data","data.*","fetched (200)","2021-10-08 09:30:31.168862","Facebook:/<post-id>/comments","Grazzi :-D","2020-06-26T06:21:18+0000","0","2",""
"1667361013558888_2361282604166722/1667361013558888_2361282604166722","1811","308","1","1667361013558888_2361282604166722","data","data.*","fetched (200)","2021-10-08 09:30:31.168862","Facebook:/<post-id>/comments","Grazzi ya dedikazjoni takom bhal kull sena ahna proud bikom Grazzi alik Ms Falzon qajimt liskola tana fuq saqaja x namlu minajrek il bastun ta liskola Grazzi ukol lil Ms Spiteri u il Ms Carter u lil ghalliema kolla u il haddiema kolla GRAZZI MILL ❤️","2020-06-26T06:24:40+0000","0","0",""
"1667361013558888_2361282604166722/1667361013558888_2361282604166722","1812","308","1","1667361013558888_2361282604166722","data","data.*","fetched (200)","2021-10-08 09:30:31.168862","Facebook:/<post-id>/comments","RevCan Emmanuel Schembri grazzi lilek Father, ta' kemm tiehu hsiebna!","2020-06-26T06:31:02+0000","0","0",""
"1667361013558888_2361282604166722/1667361013558888_2361282604166722","1813","308","1","1667361013558888_2361282604166722","data","data.*","fetched (200)","2021-10-08 09:30:31.168862","Facebook:/<post-id>/comments","Grazzi mil qalb lil kullħadd","2020-06-26T06:33:56+0000","0","0",""
"1667361013558888_2361282604166722/1667361013558888_2361282604166722","1814","308","1","1667361013558888_2361282604166722","data","data.*","fetched (200)","2021-10-08 09:30:31.168862","Facebook:/<post-id>/comments","Thank you..thanks to the teachers that kept the kids going in this difficult time  Thanks for all the patience  Hopefully we can.ty better in person in September Xxx","2020-06-26T06:34:43+0000","0","0",""
"1667361013558888_2361282604166722/1667361013558888_2361282604166722","1815","308","1","1667361013558888_2361282604166722","data","data.*","fetched (200)","2021-10-08 09:30:31.168862","Facebook:/<post-id>/comments","Grazzi ta kollox ❤❤","2020-06-26T06:35:03+0000","0","0",""
"1667361013558888_2361282604166722/1667361013558888_2361282604166722","1816","308","1","1667361013558888_2361282604166722","data","data.*","fetched (200)","2021-10-08 09:30:31.168862","Facebook:/<post-id>/comments","Grazzi ta kollox ❤❤","2020-06-26T06:38:58+0000","0","0",""
"1667361013558888_2361282604166722/1667361013558888_2361282604166722","1817","308","1","1667361013558888_2361282604166722","data","data.*","fetched (200)","2021-10-08 09:30:31.168862","Facebook:/<post-id>/comments","Prosit ms falzon ezempju car ta kif tmexxi skola b determinazjoni u hegga.grazzi talli dejjem kont hemm biex tisma l kulhadd.jien hdimt mieghek zmien ilu u vera mara kif jejdu tal genn prosit","2020-06-26T06:39:28+0000","0","0",""
"1667361013558888_2361282604166722/1667361013558888_2361282604166722","1818","308","1","1667361013558888_2361282604166722","data","data.*","fetched (200)","2021-10-08 09:30:31.168862","Facebook:/<post-id>/comments","Grazzi ta kollox xxxxxxx","2020-06-26T06:46:06+0000","0","0",""
"1667361013558888_2361282604166722/1667361013558888_2361282604166722","1819","308","1","1667361013558888_2361282604166722","data","data.*","fetched (200)","2021-10-08 09:30:31.168862","Facebook:/<post-id>/comments","Grazzi ","2020-06-26T06:47:48+0000","0","0",""
"1667361013558888_2361282604166722/1667361013558888_2361282604166722","1820","308","1","1667361013558888_2361282604166722","data","data.*","fetched (200)","2021-10-08 09:30:31.168862","Facebook:/<post-id>/comments","Grazzi lilkom ta dedikazzjoni kbira li ghandkom lejn it tfal..j alla ikolna sena ahjar xx","2020-06-26T06:51:12+0000","0","0",""
