"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message"
"484545468258607_3009377175775411","316","None","0","484545468258607_3009377175775411","seed","","","None","None","","","","",""
"484545468258607_3009377175775411/484545468258607_3009377175775411","2355","316","1","484545468258607_3009377175775411","data","data.*","fetched (200)","2021-10-07 16:28:47.175774","Facebook:/<post-id>/comments","Zomm fih","2020-03-28T17:57:47+0000","0","0",""
"484545468258607_3009377175775411/484545468258607_3009377175775411","2356","316","1","484545468258607_3009377175775411","data","data.*","fetched (200)","2021-10-07 16:28:47.175774","Facebook:/<post-id>/comments","U lihor tefana il habs!!","2020-03-28T18:14:31+0000","0","0",""
"484545468258607_3009377175775411/484545468258607_3009377175775411","2357","316","1","484545468258607_3009377175775411","data","data.*","fetched (200)","2021-10-07 16:28:47.175774","Facebook:/<post-id>/comments","Zomm fih","2020-03-28T18:16:44+0000","0","0",""
"484545468258607_3009377175775411/484545468258607_3009377175775411","2358","316","1","484545468258607_3009377175775411","data","data.*","fetched (200)","2021-10-07 16:28:47.175774","Facebook:/<post-id>/comments","Ghax xi darba tigi fik","2020-03-28T18:18:13+0000","0","0",""
"484545468258607_3009377175775411/484545468258607_3009377175775411","2359","316","1","484545468258607_3009377175775411","data","data.*","fetched (200)","2021-10-07 16:28:47.175774","Facebook:/<post-id>/comments","Zomm fih.","2020-03-28T18:25:59+0000","0","0",""
"484545468258607_3009377175775411/484545468258607_3009377175775411","2360","316","1","484545468258607_3009377175775411","data","data.*","fetched (200)","2021-10-07 16:28:47.175774","Facebook:/<post-id>/comments","L ixkubetta. Ghanda l grillu..","2020-03-28T18:52:30+0000","0","0",""
"484545468258607_3009377175775411/484545468258607_3009377175775411","2361","316","1","484545468258607_3009377175775411","data","data.*","fetched (200)","2021-10-07 16:28:47.175774","Facebook:/<post-id>/comments","Kliem ix xih zomm fih . Imma il kwizz mort ftit il bahar sitta minn ghaxra 😞","2020-03-28T19:17:07+0000","0","0",""
"484545468258607_3009377175775411/484545468258607_3009377175775411","2362","316","1","484545468258607_3009377175775411","data","data.*","fetched (200)","2021-10-07 16:28:47.175774","Facebook:/<post-id>/comments","zomm fih","2020-03-28T19:54:56+0000","0","0",""
"484545468258607_3009377175775411/484545468258607_3009377175775411","2363","316","1","484545468258607_3009377175775411","data","data.*","fetched (200)","2021-10-07 16:28:47.175774","Facebook:/<post-id>/comments","Il garra gejja u sejra xi darba tinkiser . Erfa u sor ghal meta tigi bzonn. Hanzir taqtalu dembu hanzir jibqa. Iz zejt dejjem jitla f wicc l ilma. Tidholx  bejn il basla u qoxrita ghax tohrog b rihita. Il min tisilfu titilfu. Pjacir mhux mitlub nofsu mitluf.","2020-03-28T20:30:54+0000","0","0",""
"484545468258607_3009377175775411/484545468258607_3009377175775411","2364","316","1","484545468258607_3009377175775411","data","data.*","fetched (200)","2021-10-07 16:28:47.175774","Facebook:/<post-id>/comments","Daqs kemm hemm","2020-03-28T20:32:46+0000","0","0",""
"484545468258607_3009377175775411/484545468258607_3009377175775411","2365","316","1","484545468258607_3009377175775411","data","data.*","fetched (200)","2021-10-07 16:28:47.175774","Facebook:/<post-id>/comments","Ahjar uff milli ahh. Erfa w sorr ghal meta tigi  bzonn. Horrox borrox u l-gakketta tghatti kollox","2020-03-29T05:49:54+0000","0","0",""
"484545468258607_3009377175775411/484545468258607_3009377175775411","2366","316","1","484545468258607_3009377175775411","data","data.*","fetched (200)","2021-10-07 16:28:47.175774","Facebook:/<post-id>/comments","Zomm fih","2020-03-29T05:57:55+0000","0","0",""
