"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message"
"105704999515434_3688841991201699","1043","None","0","105704999515434_3688841991201699","seed","","","None","None","","","","",""
"105704999515434_3688841991201699/105704999515434_3688841991201699","11350","1043","1","105704999515434_3688841991201699","data","data.*","fetched (200)","2021-10-07 15:54:15.202278","Facebook:/<post-id>/comments","Hemm min jkun qed isuq fil qamar hemmhekk. Ma jkunx jaf fejn hu sejjer.","2020-11-02T15:49:42+0000","3","0",""
"105704999515434_3688841991201699/105704999515434_3688841991201699","11351","1043","1","105704999515434_3688841991201699","data","data.*","fetched (200)","2021-10-07 15:54:15.202278","Facebook:/<post-id>/comments","Mela ejja raporta mil.ewwel ax  jibatlek.messag 😀😀","2020-11-02T16:53:00+0000","0","0",""
"105704999515434_3688841991201699/105704999515434_3688841991201699","11352","1043","1","105704999515434_3688841991201699","data","data.*","fetched (200)","2021-10-07 15:54:15.202278","Facebook:/<post-id>/comments","In nies adom ma jafux xigifiri tahseb min qabel limited Naha sejjer u kijf jistembhu minajr ma jixelu indiketer jistu jahsbu li idijn isuqu wehedom f dijna","2020-11-03T07:11:04+0000","0","0",""
"105704999515434_3688841991201699/105704999515434_3688841991201699","11353","1043","1","105704999515434_3688841991201699","offcut","","fetched (200)","2021-10-07 15:54:15.202278","Facebook:/<post-id>/comments","","","","",""
"105704999515434_3688823197870245","1044","None","0","105704999515434_3688823197870245","seed","","","None","None","","","","",""
"105704999515434_3688823197870245/105704999515434_3688823197870245","11354","1044","1","105704999515434_3688823197870245","data","data.*","fetched (200)","2021-10-07 15:54:15.937203","Facebook:/<post-id>/comments","Damn traffic, we cant take it anymore","2020-11-02T15:46:30+0000","1","0",""
"105704999515434_3688823197870245/105704999515434_3688823197870245","11355","1044","1","105704999515434_3688823197870245","data","data.*","fetched (200)","2021-10-07 15:54:15.937203","Facebook:/<post-id>/comments","Emm habta wahda zanznet il bridge diga ax dahlet fih","2020-11-02T15:55:17+0000","0","4",""
"105704999515434_3688823197870245/105704999515434_3688823197870245","11356","1044","1","105704999515434_3688823197870245","data","data.*","fetched (200)","2021-10-07 15:54:15.937203","Facebook:/<post-id>/comments","Kelvin Whitelaw hadd ma jkun jaf fejn sejjer hemm.","2020-11-02T15:59:05+0000","1","0",""
"105704999515434_3688823197870245/105704999515434_3688823197870245","11357","1044","1","105704999515434_3688823197870245","data","data.*","fetched (200)","2021-10-07 15:54:15.937203","Facebook:/<post-id>/comments","","2020-11-02T16:08:21+0000","2","0",""
"105704999515434_3688823197870245/105704999515434_3688823197870245","11358","1044","1","105704999515434_3688823197870245","data","data.*","fetched (200)","2021-10-07 15:54:15.937203","Facebook:/<post-id>/comments","Melkior Micallef  emm naqa genn bhalisa ","2020-11-02T16:15:47+0000","2","0",""
"105704999515434_3688823197870245/105704999515434_3688823197870245","11359","1044","1","105704999515434_3688823197870245","data","data.*","fetched (200)","2021-10-07 15:54:15.937203","Facebook:/<post-id>/comments","La mtijja progett li gie jiswa l miljuni u habta tistagna n naha t isfel kollhu.  Suppost l ahhat ftit jonqsu dal progett biss biex tmur ghas south, tidghi kont u tidghi ghadek","2020-11-02T16:15:50+0000","1","0",""
"105704999515434_3688823197870245/105704999515434_3688823197870245","11360","1044","1","105704999515434_3688823197870245","data","data.*","fetched (200)","2021-10-07 15:54:15.937203","Facebook:/<post-id>/comments","Glenn Zammit  ejja nejdu li habtet baqat diehla go scafolding ma nafx kif rnexila ax elevat ijad ","2020-11-02T16:20:33+0000","0","0",""
"105704999515434_3688823197870245/105704999515434_3688823197870245","11361","1044","1","105704999515434_3688823197870245","data","data.*","fetched (200)","2021-10-07 15:54:15.937203","Facebook:/<post-id>/comments","Ghadditli l ministru is sahna tal ftuh tal flyover????","2020-11-02T16:28:11+0000","0","0",""
"105704999515434_3688823197870245/105704999515434_3688823197870245","11362","1044","1","105704999515434_3688823197870245","data","data.*","fetched (200)","2021-10-07 15:54:15.937203","Facebook:/<post-id>/comments","Jiena hemm xahadd baqa diehel ga scaffolding u min 3 lane giet one lane","2020-11-02T18:09:44+0000","0","0",""
"105704999515434_3688823197870245/105704999515434_3688823197870245","11363","1044","1","105704999515434_3688823197870245","data","data.*","fetched (200)","2021-10-07 15:54:15.937203","Facebook:/<post-id>/comments","Sammy Is-sosa Aquilina","2020-11-02T20:23:23+0000","0","0",""
"105704999515434_3688823197870245/105704999515434_3688823197870245","11364","1044","1","105704999515434_3688823197870245","data","data.*","fetched (200)","2021-10-07 15:54:15.937203","Facebook:/<post-id>/comments","xi dwejjaq!!!","2020-11-03T06:58:55+0000","0","0",""
"105704999515434_3688823197870245/105704999515434_3688823197870245","11365","1044","1","105704999515434_3688823197870245","offcut","","fetched (200)","2021-10-07 15:54:15.937203","Facebook:/<post-id>/comments","","","","",""
"105704999515434_3688813781204520","1045","None","0","105704999515434_3688813781204520","seed","","","None","None","","","","",""
"105704999515434_3688813781204520/105704999515434_3688813781204520","11366","1045","1","105704999515434_3688813781204520","data","data.*","fetched (200)","2021-10-07 15:54:16.768340","Facebook:/<post-id>/comments","What an unusual surprise 😏","2020-11-02T15:59:45+0000","2","0",""
