"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message"
"293834040785050_1828571283977977","87","None","0","293834040785050_1828571283977977","seed","","","None","None","","","","",""
"293834040785050_1828571283977977/293834040785050_1828571283977977","171","87","1","293834040785050_1828571283977977","empty","","fetched (200)","2021-08-08 13:35:43.476022","Facebook:/<post-id>/comments","","","","",""
"293834040785050_1772763196225453","88","None","0","293834040785050_1772763196225453","seed","","","None","None","","","","",""
"293834040785050_1772763196225453/1772763196225453_1772782366223536","172","88","1","1772763196225453_1772782366223536","data","data.*","fetched (200)","2021-08-08 13:35:43.889886","Facebook:/<post-id>/comments","Tghamlu delivery, pls.?","2021-03-27T12:54:19+0000","0","0",""
"293834040785050_1772763196225453/1772763196225453_1772783539556752","173","88","1","1772763196225453_1772783539556752","data","data.*","fetched (200)","2021-08-08 13:35:43.889886","Facebook:/<post-id>/comments","Taghmludelivery","2021-03-27T12:56:34+0000","0","0",""
"293834040785050_1772763196225453/1772763196225453_1772787012889738","174","88","1","1772763196225453_1772787012889738","data","data.*","fetched (200)","2021-08-08 13:35:43.889886","Facebook:/<post-id>/comments","12 pls, kemm u meta delivery?","2021-03-27T13:02:31+0000","0","0",""
"293834040785050_1772763196225453/1772763196225453_1772824539552652","175","88","1","1772763196225453_1772824539552652","data","data.*","fetched (200)","2021-08-08 13:35:43.889886","Facebook:/<post-id>/comments","At what time are you opening for take away? And on which days you are open?","2021-03-27T14:02:07+0000","1","0",""
"293834040785050_1772763196225453/1772763196225453_1773025142865925","176","88","1","1772763196225453_1773025142865925","data","data.*","fetched (200)","2021-08-08 13:35:43.889886","Facebook:/<post-id>/comments","Kulljum ikellkhom pls ??????","2021-03-27T19:43:49+0000","0","0",""
"293834040785050_1772763196225453/1772763196225453_1780216198813486","177","88","1","1772763196225453_1780216198813486","data","data.*","fetched (200)","2021-08-08 13:35:43.889886","Facebook:/<post-id>/comments","Tajbin ta vera!","2021-04-06T15:07:24+0000","0","0",""
"293834040785050_1772763196225453/1772763196225453_1783452158489890","178","88","1","1772763196225453_1783452158489890","data","data.*","fetched (200)","2021-08-08 13:35:43.889886","Facebook:/<post-id>/comments","Delivery?","2021-04-10T17:53:13+0000","1","0",""
