"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message"
"178617909485793_475801706434077","301","None","0","178617909485793_475801706434077","seed","","","None","None","","","","",""
"178617909485793_475801706434077/178617909485793_475801706434077","4742","301","1","178617909485793_475801706434077","data","data.*","fetched (200)","2021-10-07 15:31:16.260624","Facebook:/<post-id>/comments","Log in to?","2020-02-04T19:48:47+0000","0","1",""
"178617909485793_475801706434077/178617909485793_475801706434077","4743","301","1","178617909485793_475801706434077","data","data.*","fetched (200)","2021-10-07 15:31:16.260624","Facebook:/<post-id>/comments","Dear Doreen, To participate in this competition, please visit www.medirect.com.mt/xfactor. You can follow the instructions and answer the question on this page. Let us know if you need any assistance. Regards, MeDirect","2020-02-04T20:02:47+0000","1","0",""
"178617909485793_475801706434077/178617909485793_475801706434077","4744","301","1","178617909485793_475801706434077","data","data.*","fetched (200)","2021-10-07 15:31:16.260624","Facebook:/<post-id>/comments","Done","2020-02-06T07:17:15+0000","1","0",""
"178617909485793_475801706434077/178617909485793_475801706434077","4745","301","1","178617909485793_475801706434077","offcut","","fetched (200)","2021-10-07 15:31:16.260624","Facebook:/<post-id>/comments","","","","",""
"178617909485793_475785583102356","302","None","0","178617909485793_475785583102356","seed","","","None","None","","","","",""
"178617909485793_475785583102356/178617909485793_475785583102356","4746","302","1","178617909485793_475785583102356","data","data.*","fetched (200)","2021-10-07 15:31:16.785407","Facebook:/<post-id>/comments","Brava god luck","2020-02-04T19:02:28+0000","0","0",""
"178617909485793_475785583102356/178617909485793_475785583102356","4747","302","1","178617909485793_475785583102356","data","data.*","fetched (200)","2021-10-07 15:31:16.785407","Facebook:/<post-id>/comments","","2020-02-04T19:02:39+0000","1","0",""
"178617909485793_475785583102356/178617909485793_475785583102356","4748","302","1","178617909485793_475785583102356","data","data.*","fetched (200)","2021-10-07 15:31:16.785407","Facebook:/<post-id>/comments","Star ⭐️❤️","2020-02-04T19:02:50+0000","0","0",""
"178617909485793_475785583102356/178617909485793_475785583102356","4749","302","1","178617909485793_475785583102356","data","data.*","fetched (200)","2021-10-07 15:31:16.785407","Facebook:/<post-id>/comments","You are a star","2020-02-04T19:04:39+0000","1","0",""
"178617909485793_475785583102356/178617909485793_475785583102356","4750","302","1","178617909485793_475785583102356","data","data.*","fetched (200)","2021-10-07 15:31:16.785407","Facebook:/<post-id>/comments","Good luck you are the real WINNER of Xfactor  Well done","2020-02-04T19:10:34+0000","0","0",""
"178617909485793_475785583102356/178617909485793_475785583102356","4751","302","1","178617909485793_475785583102356","data","data.*","fetched (200)","2021-10-07 15:31:16.785407","Facebook:/<post-id>/comments","⭐❤","2020-02-04T19:13:12+0000","0","0",""
"178617909485793_475785583102356/178617909485793_475785583102356","4752","302","1","178617909485793_475785583102356","data","data.*","fetched (200)","2021-10-07 15:31:16.785407","Facebook:/<post-id>/comments","She should be  the winner brava  wisq  🙏","2020-02-04T19:20:15+0000","1","0",""
"178617909485793_475785583102356/178617909485793_475785583102356","4753","302","1","178617909485793_475785583102356","data","data.*","fetched (200)","2021-10-07 15:31:16.785407","Facebook:/<post-id>/comments","JUSTINE","2020-02-04T19:27:19+0000","1","0",""
"178617909485793_475785583102356/178617909485793_475785583102356","4754","302","1","178617909485793_475785583102356","data","data.*","fetched (200)","2021-10-07 15:31:16.785407","Facebook:/<post-id>/comments","Meta ser ikun il final please?","2020-02-04T19:28:31+0000","0","2",""
"178617909485793_475785583102356/178617909485793_475785583102356","4755","302","1","178617909485793_475785583102356","data","data.*","fetched (200)","2021-10-07 15:31:16.785407","Facebook:/<post-id>/comments","Good luck","2020-02-04T19:35:07+0000","0","0",""
"178617909485793_475785583102356/178617909485793_475785583102356","4756","302","1","178617909485793_475785583102356","data","data.*","fetched (200)","2021-10-07 15:31:16.785407","Facebook:/<post-id>/comments","Rachelle Scorfna is sibt li gej","2020-02-04T19:40:57+0000","0","0",""
